region,mean_gdp,share,growth,volatility
Metropolitana de Santiago,78.49056065828438,45.91773332503958,2.0378432792130456,4.787277055191051
Antofagasta,15.996702923410387,9.386466216383239,1.3563189251009957,4.200467310055866
Valparaíso,14.260068012756996,8.35128551261159,1.4059341830922278,4.065016108081182
Biobío,11.4478519664777,6.685659117700756,2.6306729836025844,3.4903205091056564
O'Higgins,7.864672853980402,4.602858000023359,1.987340217392025,3.975553382973465
Maule,7.2188616420083,4.211003373569868,3.0570710913157417,3.6110784894554806
Los Lagos,6.309271287449223,3.6790418532533318,3.5698347734430667,3.68773344289426
Coquimbo,5.8701562946928005,3.4368711623917667,1.3939154414040236,3.7752733677609904
La Araucanía,5.355727625394914,3.1225014941485583,3.2398732665809504,3.90470195291881
Tarapacá,4.456979350907753,2.605255907000526,1.615449275197177,4.826837360371783
Atacama,3.8526626846498844,2.255152654502175,2.544669244738479,5.8088585635834455
Ñuble,2.798429594838038,1.6333952305938804,2.8890827382404285,4.329759210377559
Los Ríos,2.4984948941251153,1.459598746726794,2.72315388101739,3.3520563480151093
Magallanes,1.8426445181867,1.0782708404327843,2.5628650256596646,5.369247415957538
Arica y Parinacota,1.491198930940546,0.8693386940709538,3.2756205925636883,5.482042549389813
Aysén,1.2059943343857846,0.7055678715508454,2.3463397621088595,5.712713399885456
