anio,region_id,region_display,indicador,medida,unidad,valor,unidad_original,dimension,agregacion
2009,01,Tarapacá,cuentas_corrientes,stock,unidades,30825.166666666668,número de cuentas de personas naturales,conteo,total
2010,01,Tarapacá,cuentas_corrientes,stock,unidades,32997.083333333336,número de cuentas de personas naturales,conteo,total
2011,01,Tarapacá,cuentas_corrientes,stock,unidades,36102.666666666664,número de cuentas de personas naturales,conteo,total
2012,01,Tarapacá,cuentas_corrientes,stock,unidades,39319.833333333336,número de cuentas de personas naturales,conteo,total
2013,01,Tarapacá,cuentas_corrientes,stock,unidades,42392.666666666664,número de cuentas de personas naturales,conteo,total
2014,01,Tarapacá,cuentas_corrientes,stock,unidades,44964.416666666664,número de cuentas de personas naturales,conteo,total
2015,01,Tarapacá,cuentas_corrientes,stock,unidades,47979.833333333336,número de cuentas de personas naturales,conteo,total
2016,01,Tarapacá,cuentas_corrientes,stock,unidades,50575.666666666664,número de cuentas de personas naturales,conteo,total
2017,01,Tarapacá,cuentas_corrientes,stock,unidades,52520.166666666664,número de cuentas de personas naturales,conteo,total
2018,01,Tarapacá,cuentas_corrientes,stock,unidades,55271.833333333336,número de cuentas de personas naturales,conteo,total
2019,01,Tarapacá,cuentas_corrientes,stock,unidades,58941.5,número de cuentas de personas naturales,conteo,total
2020,01,Tarapacá,cuentas_corrientes,stock,unidades,61572.083333333336,número de cuentas de personas naturales,conteo,total
2021,01,Tarapacá,cuentas_corrientes,stock,unidades,65402.166666666664,número de cuentas de personas naturales,conteo,total
2022,01,Tarapacá,cuentas_corrientes,stock,unidades,66219.25,número de cuentas de personas naturales,conteo,total
2023,01,Tarapacá,cuentas_corrientes,stock,unidades,70855.33333333333,número de cuentas de personas naturales,conteo,total
2024,01,Tarapacá,cuentas_corrientes,stock,unidades,77559.91666666667,número de cuentas de personas naturales,conteo,total
2025,01,Tarapacá,cuentas_corrientes,stock,unidades,81745.75,número de cuentas de personas naturales,conteo,total
2009,02,Antofagasta,cuentas_corrientes,stock,unidades,70299.16666666667,número de cuentas de personas naturales,conteo,total
2010,02,Antofagasta,cuentas_corrientes,stock,unidades,75857.75,número de cuentas de personas naturales,conteo,total
2011,02,Antofagasta,cuentas_corrientes,stock,unidades,82934.0,número de cuentas de personas naturales,conteo,total
2012,02,Antofagasta,cuentas_corrientes,stock,unidades,90613.16666666667,número de cuentas de personas naturales,conteo,total
2013,02,Antofagasta,cuentas_corrientes,stock,unidades,99253.91666666667,número de cuentas de personas naturales,conteo,total
2014,02,Antofagasta,cuentas_corrientes,stock,unidades,106488.5,número de cuentas de personas naturales,conteo,total
2015,02,Antofagasta,cuentas_corrientes,stock,unidades,113191.25,número de cuentas de personas naturales,conteo,total
2016,02,Antofagasta,cuentas_corrientes,stock,unidades,119869.25,número de cuentas de personas naturales,conteo,total
2017,02,Antofagasta,cuentas_corrientes,stock,unidades,124804.08333333333,número de cuentas de personas naturales,conteo,total
2018,02,Antofagasta,cuentas_corrientes,stock,unidades,131110.25,número de cuentas de personas naturales,conteo,total
2019,02,Antofagasta,cuentas_corrientes,stock,unidades,139534.41666666666,número de cuentas de personas naturales,conteo,total
2020,02,Antofagasta,cuentas_corrientes,stock,unidades,143804.75,número de cuentas de personas naturales,conteo,total
2021,02,Antofagasta,cuentas_corrientes,stock,unidades,151908.58333333334,número de cuentas de personas naturales,conteo,total
2022,02,Antofagasta,cuentas_corrientes,stock,unidades,155406.83333333334,número de cuentas de personas naturales,conteo,total
2023,02,Antofagasta,cuentas_corrientes,stock,unidades,168032.66666666666,número de cuentas de personas naturales,conteo,total
2024,02,Antofagasta,cuentas_corrientes,stock,unidades,182153.41666666666,número de cuentas de personas naturales,conteo,total
2025,02,Antofagasta,cuentas_corrientes,stock,unidades,191208.33333333334,número de cuentas de personas naturales,conteo,total
2009,03,Atacama,cuentas_corrientes,stock,unidades,23389.083333333332,número de cuentas de personas naturales,conteo,total
2010,03,Atacama,cuentas_corrientes,stock,unidades,24630.333333333332,número de cuentas de personas naturales,conteo,total
2011,03,Atacama,cuentas_corrientes,stock,unidades,26558.083333333332,número de cuentas de personas naturales,conteo,total
2012,03,Atacama,cuentas_corrientes,stock,unidades,29315.083333333332,número de cuentas de personas naturales,conteo,total
2013,03,Atacama,cuentas_corrientes,stock,unidades,32302.25,número de cuentas de personas naturales,conteo,total
2014,03,Atacama,cuentas_corrientes,stock,unidades,34499.083333333336,número de cuentas de personas naturales,conteo,total
2015,03,Atacama,cuentas_corrientes,stock,unidades,36262.416666666664,número de cuentas de personas naturales,conteo,total
2016,03,Atacama,cuentas_corrientes,stock,unidades,38108.25,número de cuentas de personas naturales,conteo,total
2017,03,Atacama,cuentas_corrientes,stock,unidades,39136.333333333336,número de cuentas de personas naturales,conteo,total
2018,03,Atacama,cuentas_corrientes,stock,unidades,41628.5,número de cuentas de personas naturales,conteo,total
2019,03,Atacama,cuentas_corrientes,stock,unidades,44411.583333333336,número de cuentas de personas naturales,conteo,total
2020,03,Atacama,cuentas_corrientes,stock,unidades,45641.416666666664,número de cuentas de personas naturales,conteo,total
2021,03,Atacama,cuentas_corrientes,stock,unidades,47845.083333333336,número de cuentas de personas naturales,conteo,total
2022,03,Atacama,cuentas_corrientes,stock,unidades,49007.083333333336,número de cuentas de personas naturales,conteo,total
2023,03,Atacama,cuentas_corrientes,stock,unidades,53567.083333333336,número de cuentas de personas naturales,conteo,total
2024,03,Atacama,cuentas_corrientes,stock,unidades,60852.083333333336,número de cuentas de personas naturales,conteo,total
2025,03,Atacama,cuentas_corrientes,stock,unidades,62919.583333333336,número de cuentas de personas naturales,conteo,total
2009,04,Coquimbo,cuentas_corrientes,stock,unidades,45298.416666666664,número de cuentas de personas naturales,conteo,total
2010,04,Coquimbo,cuentas_corrientes,stock,unidades,47625.583333333336,número de cuentas de personas naturales,conteo,total
2011,04,Coquimbo,cuentas_corrientes,stock,unidades,52521.0,número de cuentas de personas naturales,conteo,total
2012,04,Coquimbo,cuentas_corrientes,stock,unidades,59268.583333333336,número de cuentas de personas naturales,conteo,total
2013,04,Coquimbo,cuentas_corrientes,stock,unidades,66461.75,número de cuentas de personas naturales,conteo,total
2014,04,Coquimbo,cuentas_corrientes,stock,unidades,73158.16666666667,número de cuentas de personas naturales,conteo,total
2015,04,Coquimbo,cuentas_corrientes,stock,unidades,79873.25,número de cuentas de personas naturales,conteo,total
2016,04,Coquimbo,cuentas_corrientes,stock,unidades,86638.5,número de cuentas de personas naturales,conteo,total
2017,04,Coquimbo,cuentas_corrientes,stock,unidades,93090.33333333333,número de cuentas de personas naturales,conteo,total
2018,04,Coquimbo,cuentas_corrientes,stock,unidades,99568.0,número de cuentas de personas naturales,conteo,total
2019,04,Coquimbo,cuentas_corrientes,stock,unidades,108673.41666666667,número de cuentas de personas naturales,conteo,total
2020,04,Coquimbo,cuentas_corrientes,stock,unidades,114891.0,número de cuentas de personas naturales,conteo,total
2021,04,Coquimbo,cuentas_corrientes,stock,unidades,120247.75,número de cuentas de personas naturales,conteo,total
2022,04,Coquimbo,cuentas_corrientes,stock,unidades,123491.08333333333,número de cuentas de personas naturales,conteo,total
