anio,zone,is_zone_subset,indicador,valor,unidad,unidad_original,dimension,agregacion
2012,Nacional,False,metros_construidos,315737666.0,m2,millones de metros cuadrados,superficie,total
2012,Nacional,False,metros_terreno,1415200837.2358,m2,millones de metros cuadrados,superficie,total
2012,Nacional,False,numero_propiedades,4444230.0,unidades,propiedades,conteo,total
2012,Nacional,False,valor_construccion,88537416107240.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional,False,valor_terreno,56912636099986.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional,False,valor_vivienda,145450052207220.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional,False,valor_vivienda_pib,111.90755867992,%,% del PIB,tasa,promedio
2012,Nacional -- casas,True,metros_construidos,267882392.99999997,m2,millones de metros cuadrados,superficie,total
2012,Nacional -- casas,True,metros_terreno,1382438890.1726,m2,millones de metros cuadrados,superficie,total
2012,Nacional -- casas,True,numero_propiedades,3686875.0,unidades,propiedades,conteo,total
2012,Nacional -- casas,True,valor_construccion,58498275864342.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional -- casas,True,valor_terreno,52639788017210.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional -- casas,True,valor_vivienda,111138063881550.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional -- casas,True,valor_vivienda_pib,85.508318606024,%,% del PIB,tasa,promedio
2012,Nacional -- departamentos,True,metros_construidos,47855273.0,m2,millones de metros cuadrados,superficie,total
2012,Nacional -- departamentos,True,metros_terreno,32761947.063268002,m2,millones de metros cuadrados,superficie,total
2012,Nacional -- departamentos,True,numero_propiedades,757355.0,unidades,propiedades,conteo,total
2012,Nacional -- departamentos,True,valor_construccion,30039140242897.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional -- departamentos,True,valor_terreno,4272848082776.5996,pesos,miles de millones de pesos,dinero,total
2012,Nacional -- departamentos,True,valor_vivienda,34311988325674.0,pesos,miles de millones de pesos,dinero,total
2012,Nacional -- departamentos,True,valor_vivienda_pib,26.399240073903,%,% del PIB,tasa,promedio
2012,Región Metropolitana,False,metros_construidos,136102007.0,m2,millones de metros cuadrados,superficie,total
2012,Región Metropolitana,False,metros_terreno,410735922.90261,m2,millones de metros cuadrados,superficie,total
2012,Región Metropolitana,False,numero_propiedades,1848532.0,unidades,propiedades,conteo,total
2012,Región Metropolitana,False,valor_vivienda,78477347247015.0,pesos,miles de millones de pesos,dinero,total
2012,Región Metropolitana,False,valor_vivienda_pib,60.379547541023,%,% del PIB,tasa,promedio
2012,Zona Centro,False,metros_construidos,86219867.0,m2,millones de metros cuadrados,superficie,total
2012,Zona Centro,False,metros_terreno,515081288.44244003,m2,millones de metros cuadrados,superficie,total
2012,Zona Centro,False,numero_propiedades,1246083.0,unidades,propiedades,conteo,total
2012,Zona Centro,False,valor_vivienda,29149883679620.0,pesos,miles de millones de pesos,dinero,total
2012,Zona Centro,False,valor_vivienda_pib,22.427577500918,%,% del PIB,tasa,promedio
2012,Zona Norte,False,metros_construidos,24025451.5,m2,millones de metros cuadrados,superficie,total
2012,Zona Norte,False,metros_terreno,69191608.847081,m2,millones de metros cuadrados,superficie,total
2012,Zona Norte,False,numero_propiedades,346244.0,unidades,propiedades,conteo,total
2012,Zona Norte,False,valor_vivienda,13496998468207.0,pesos,miles de millones de pesos,dinero,total
2012,Zona Norte,False,valor_vivienda_pib,10.384431804341,%,% del PIB,tasa,promedio
2012,Zona Sur,False,metros_construidos,69390340.5,m2,millones de metros cuadrados,superficie,total
2012,Zona Sur,False,metros_terreno,420192017.04374003,m2,millones de metros cuadrados,superficie,total
2012,Zona Sur,False,numero_propiedades,1003371.0,unidades,propiedades,conteo,total
2012,Zona Sur,False,valor_vivienda,24325822812382.0,pesos,miles de millones de pesos,dinero,total
2012,Zona Sur,False,valor_vivienda_pib,18.716001833645,%,% del PIB,tasa,promedio
2013,Nacional,False,metros_construidos,318919288.0,m2,millones de metros cuadrados,superficie,total
2013,Nacional,False,metros_terreno,1425254805.4232,m2,millones de metros cuadrados,superficie,total
2013,Nacional,False,numero_propiedades,4491769.0,unidades,propiedades,conteo,total
2013,Nacional,False,valor_construccion,91673158668764.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional,False,valor_terreno,66860140732584.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional,False,valor_vivienda,158533299401340.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional,False,valor_vivienda_pib,115.45716428581,%,% del PIB,tasa,promedio
2013,Nacional -- casas,True,metros_construidos,269928895.0,m2,millones de metros cuadrados,superficie,total
2013,Nacional -- casas,True,metros_terreno,1391597212.3374999,m2,millones de metros cuadrados,superficie,total
2013,Nacional -- casas,True,numero_propiedades,3714199.0,unidades,propiedades,conteo,total
2013,Nacional -- casas,True,valor_construccion,59483177748932.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional -- casas,True,valor_terreno,61562807101647.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional -- casas,True,valor_vivienda,121045984850580.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional -- casas,True,valor_vivienda_pib,88.155776810337,%,% del PIB,tasa,promedio
2013,Nacional -- departamentos,True,metros_construidos,48990393.0,m2,millones de metros cuadrados,superficie,total
2013,Nacional -- departamentos,True,metros_terreno,33657593.085659996,m2,millones de metros cuadrados,superficie,total
2013,Nacional -- departamentos,True,numero_propiedades,777570.0,unidades,propiedades,conteo,total
2013,Nacional -- departamentos,True,valor_construccion,32189980919831.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional -- departamentos,True,valor_terreno,5297333630936.2,pesos,miles de millones de pesos,dinero,total
2013,Nacional -- departamentos,True,valor_vivienda,37487314550767.0,pesos,miles de millones de pesos,dinero,total
2013,Nacional -- departamentos,True,valor_vivienda_pib,27.301387475476,%,% del PIB,tasa,promedio
2013,Región Metropolitana,False,metros_construidos,137297799.5,m2,millones de metros cuadrados,superficie,total
2013,Región Metropolitana,False,metros_terreno,413601011.36405003,m2,millones de metros cuadrados,superficie,total
2013,Región Metropolitana,False,numero_propiedades,1864616.0,unidades,propiedades,conteo,total
2013,Región Metropolitana,False,valor_vivienda,86934127402580.0,pesos,miles de millones de pesos,dinero,total
2013,Región Metropolitana,False,valor_vivienda_pib,63.312678582139,%,% del PIB,tasa,promedio
2013,Zona Centro,False,metros_construidos,87244139.0,m2,millones de metros cuadrados,superficie,total
2013,Zona Centro,False,metros_terreno,519975624.63504004,m2,millones de metros cuadrados,superficie,total
2013,Zona Centro,False,numero_propiedades,1260871.0,unidades,propiedades,conteo,total
2013,Zona Centro,False,valor_vivienda,30659492411569.0,pesos,miles de millones de pesos,dinero,total
2013,Zona Centro,False,valor_vivienda_pib,22.328798212422,%,% del PIB,tasa,promedio
2013,Zona Norte,False,metros_construidos,24325598.0,m2,millones de metros cuadrados,superficie,total
2013,Zona Norte,False,metros_terreno,69169969.232718,m2,millones de metros cuadrados,superficie,total
2013,Zona Norte,False,numero_propiedades,352202.0,unidades,propiedades,conteo,total
2013,Zona Norte,False,valor_vivienda,15641870961908.0,pesos,miles de millones de pesos,dinero,total
2013,Zona Norte,False,valor_vivienda_pib,11.391714372981,%,% del PIB,tasa,promedio
2013,Zona Sur,False,metros_construidos,70051751.5,m2,millones de metros cuadrados,superficie,total
2013,Zona Sur,False,metros_terreno,422508200.19141996,m2,millones de metros cuadrados,superficie,total
2013,Zona Sur,False,numero_propiedades,1014080.0,unidades,propiedades,conteo,total
2013,Zona Sur,False,valor_vivienda,25297808625289.0,pesos,miles de millones de pesos,dinero,total
2013,Zona Sur,False,valor_vivienda_pib,18.42397311827,%,% del PIB,tasa,promedio
2014,Nacional,False,metros_construidos,329409590.0,m2,millones de metros cuadrados,superficie,total
2014,Nacional,False,metros_terreno,1467593110.6926,m2,millones de metros cuadrados,superficie,total
2014,Nacional,False,numero_propiedades,4649620.0,unidades,propiedades,conteo,total
2014,Nacional,False,valor_construccion,106375697331810.0,pesos,miles de millones de pesos,dinero,total
2014,Nacional,False,valor_terreno,75864177770637.0,pesos,miles de millones de pesos,dinero,total
2014,Nacional,False,valor_vivienda,182239875102450.0,pesos,miles de millones de pesos,dinero,total
2014,Nacional,False,valor_vivienda_pib,123.17559046507,%,% del PIB,tasa,promedio
2014,Nacional -- casas,True,metros_construidos,276900774.0,m2,millones de metros cuadrados,superficie,total
2014,Nacional -- casas,True,metros_terreno,1431454106.2455,m2,millones de metros cuadrados,superficie,total
2014,Nacional -- casas,True,numero_propiedades,3809678.0,unidades,propiedades,conteo,total
2014,Nacional -- casas,True,valor_construccion,68954871827020.01,pesos,miles de millones de pesos,dinero,total
2014,Nacional -- casas,True,valor_terreno,69124531590636.99,pesos,miles de millones de pesos,dinero,total
2014,Nacional -- casas,True,valor_vivienda,138079403417650.0,pesos,miles de millones de pesos,dinero,total
2014,Nacional -- casas,True,valor_vivienda_pib,93.327610312914,%,% del PIB,tasa,promedio
