anio,region_code,region_name,indicador,unidad,valor,unidad_original,dimension,agregacion
2018,01,Tarapacá,compra_interregional,pesos,1549219000109.47,miles de millones de pesos,dinero,total
2018,01,Tarapacá,compra_intrarregional,pesos,902146484450.732,miles de millones de pesos,dinero,total
2018,01,Tarapacá,facturas_compra_interregional,unidades,2143643.0,miles de unidades,conteo,total
2018,01,Tarapacá,facturas_venta_interregional,unidades,792566.0,miles de unidades,conteo,total
2018,01,Tarapacá,venta_interregional,pesos,724219425326.491,miles de millones de pesos,dinero,total
2018,01,Tarapacá,venta_intrarregional,pesos,902146484450.732,miles de millones de pesos,dinero,total
2018,02,Antofagasta,compra_interregional,pesos,4450449788358.34,miles de millones de pesos,dinero,total
2018,02,Antofagasta,compra_intrarregional,pesos,2559024007619.58,miles de millones de pesos,dinero,total
2018,02,Antofagasta,facturas_compra_interregional,unidades,4843220.0,miles de unidades,conteo,total
2018,02,Antofagasta,facturas_venta_interregional,unidades,2244061.0,miles de unidades,conteo,total
2018,02,Antofagasta,venta_interregional,pesos,3584482685440.21,miles de millones de pesos,dinero,total
2018,02,Antofagasta,venta_intrarregional,pesos,2559024007619.58,miles de millones de pesos,dinero,total
2018,03,Atacama,compra_interregional,pesos,1454205092907.24,miles de millones de pesos,dinero,total
2018,03,Atacama,compra_intrarregional,pesos,716110609922.775,miles de millones de pesos,dinero,total
2018,03,Atacama,facturas_compra_interregional,unidades,2518859.0,miles de unidades,conteo,total
2018,03,Atacama,facturas_venta_interregional,unidades,803757.0000000001,miles de unidades,conteo,total
2018,03,Atacama,venta_interregional,pesos,951677570225.966,miles de millones de pesos,dinero,total
2018,03,Atacama,venta_intrarregional,pesos,716110609922.775,miles de millones de pesos,dinero,total
2018,04,Coquimbo,compra_interregional,pesos,2473745016671.41,miles de millones de pesos,dinero,total
2018,04,Coquimbo,compra_intrarregional,pesos,1706728558369.24,miles de millones de pesos,dinero,total
2018,04,Coquimbo,facturas_compra_interregional,unidades,5349403.0,miles de unidades,conteo,total
2018,04,Coquimbo,facturas_venta_interregional,unidades,1946886.0,miles de unidades,conteo,total
2018,04,Coquimbo,venta_interregional,pesos,1622192558765.91,miles de millones de pesos,dinero,total
2018,04,Coquimbo,venta_intrarregional,pesos,1706728558369.24,miles de millones de pesos,dinero,total
2018,05,Valparaíso,compra_interregional,pesos,6884414437838.029,miles de millones de pesos,dinero,total
2018,05,Valparaíso,compra_intrarregional,pesos,4911967325815.89,miles de millones de pesos,dinero,total
2018,05,Valparaíso,facturas_compra_interregional,unidades,13592393.0,miles de unidades,conteo,total
2018,05,Valparaíso,facturas_venta_interregional,unidades,6689876.999999999,miles de unidades,conteo,total
2018,05,Valparaíso,venta_interregional,pesos,11222450106836.61,miles de millones de pesos,dinero,total
2018,05,Valparaíso,venta_intrarregional,pesos,4911967325815.89,miles de millones de pesos,dinero,total
2018,06,O'Higgins,compra_interregional,pesos,4578521459151.689,miles de millones de pesos,dinero,total
2018,06,O'Higgins,compra_intrarregional,pesos,2964687627661.0303,miles de millones de pesos,dinero,total
2018,06,O'Higgins,facturas_compra_interregional,unidades,7699856.0,miles de unidades,conteo,total
2018,06,O'Higgins,facturas_venta_interregional,unidades,2642078.0,miles de unidades,conteo,total
2018,06,O'Higgins,venta_interregional,pesos,3303250343595.46,miles de millones de pesos,dinero,total
2018,06,O'Higgins,venta_intrarregional,pesos,2964687627661.0303,miles de millones de pesos,dinero,total
2018,07,Maule,compra_interregional,pesos,3774419082349.35,miles de millones de pesos,dinero,total
2018,07,Maule,compra_intrarregional,pesos,3188157810498.2,miles de millones de pesos,dinero,total
2018,07,Maule,facturas_compra_interregional,unidades,7335056.000000001,miles de unidades,conteo,total
2018,07,Maule,facturas_venta_interregional,unidades,5922850.0,miles de unidades,conteo,total
2018,07,Maule,venta_interregional,pesos,3361181823680.62,miles de millones de pesos,dinero,total
2018,07,Maule,venta_intrarregional,pesos,3188157810498.2,miles de millones de pesos,dinero,total
2018,08,Biobío,compra_interregional,pesos,5767774991149.899,miles de millones de pesos,dinero,total
2018,08,Biobío,compra_intrarregional,pesos,5079466513737.779,miles de millones de pesos,dinero,total
2018,08,Biobío,facturas_compra_interregional,unidades,11354630.0,miles de unidades,conteo,total
2018,08,Biobío,facturas_venta_interregional,unidades,4716819.0,miles de unidades,conteo,total
2018,08,Biobío,venta_interregional,pesos,6638590972960.43,miles de millones de pesos,dinero,total
2018,08,Biobío,venta_intrarregional,pesos,5079466513737.779,miles de millones de pesos,dinero,total
2018,09,La Araucanía,compra_interregional,pesos,2826490128162.89,miles de millones de pesos,dinero,total
2018,09,La Araucanía,compra_intrarregional,pesos,2375510365558.44,miles de millones de pesos,dinero,total
2018,09,La Araucanía,facturas_compra_interregional,unidades,6295604.0,miles de unidades,conteo,total
2018,09,La Araucanía,facturas_venta_interregional,unidades,3243657.0,miles de unidades,conteo,total
2018,09,La Araucanía,venta_interregional,pesos,2304165576336.29,miles de millones de pesos,dinero,total
2018,09,La Araucanía,venta_intrarregional,pesos,2375510365558.44,miles de millones de pesos,dinero,total
2018,10,Los Lagos,compra_interregional,pesos,5040074767217.46,miles de millones de pesos,dinero,total
2018,10,Los Lagos,compra_intrarregional,pesos,4974360932413.15,miles de millones de pesos,dinero,total
2018,10,Los Lagos,facturas_compra_interregional,unidades,6886742.0,miles de unidades,conteo,total
2018,10,Los Lagos,facturas_venta_interregional,unidades,3633163.0,miles de unidades,conteo,total
2018,10,Los Lagos,venta_interregional,pesos,2703008297237.52,miles de millones de pesos,dinero,total
2018,10,Los Lagos,venta_intrarregional,pesos,4974360932413.15,miles de millones de pesos,dinero,total
