anio,indicador,unidad,valor,var_anual_pct,unidad_original,dimension,agregacion
2014,empresas_constituidas,unidades,51547.0,,unidades,conteo,total
2015,empresas_constituidas,unidades,64781.0,25.67365705084681,unidades,conteo,total
2016,empresas_constituidas,unidades,76174.0,17.58694678995385,unidades,conteo,total
2017,empresas_constituidas,unidades,87554.0,14.939480662693306,unidades,conteo,total
2018,empresas_constituidas,unidades,101998.0,16.497247413025097,unidades,conteo,total
2019,empresas_constituidas,unidades,109422.0,7.278574089688039,unidades,conteo,total
2020,empresas_constituidas,unidades,134769.0,23.164445906673237,unidades,conteo,total
2021,empresas_constituidas,unidades,172064.0,27.67327797935728,unidades,conteo,total
2022,empresas_constituidas,unidades,145605.0,-15.377417705039987,unidades,conteo,total
2023,empresas_constituidas,unidades,147788.0,1.4992617011778453,unidades,conteo,total
2024,empresas_constituidas,unidades,165258.0,11.820986818956891,unidades,conteo,total
2025,empresas_constituidas,unidades,202406.0,22.478790739328815,unidades,conteo,total
2014,superficie_habitacional,m2,13322575.0,,m2,superficie,total
2015,superficie_habitacional,m2,15465472.0,16.08470584703032,m2,superficie,total
2016,superficie_habitacional,m2,10928218.0,-29.337960070019196,m2,superficie,total
2017,superficie_habitacional,m2,11660362.0,6.699573526077174,m2,superficie,total
2018,superficie_habitacional,m2,13436347.0,15.230959381878527,m2,superficie,total
2019,superficie_habitacional,m2,14085609.0,4.832131828688269,m2,superficie,total
2020,superficie_habitacional,m2,10381155.0,-26.299565748275423,m2,superficie,total
2021,superficie_habitacional,m2,12285897.0,18.3480739859871,m2,superficie,total
2022,superficie_habitacional,m2,10188170.0,-17.074268162918838,m2,superficie,total
2023,superficie_habitacional,m2,7880676.0,-22.648758314790584,m2,superficie,total
2024,superficie_habitacional,m2,7582815.0,-3.7796376859041025,m2,superficie,total
2025,superficie_habitacional,m2,7176912.0,-5.352932914755271,m2,superficie,total
2014,superficie_no_habitacional,m2,8189977.0,,m2,superficie,total
2015,superficie_no_habitacional,m2,6748224.0,-17.603871170822583,m2,superficie,total
2016,superficie_no_habitacional,m2,6694722.0,-0.7928308248214666,m2,superficie,total
2017,superficie_no_habitacional,m2,5956677.0,-11.024281516095813,m2,superficie,total
2018,superficie_no_habitacional,m2,5782907.0,-2.917230529706416,m2,superficie,total
2019,superficie_no_habitacional,m2,5942072.0,2.7523354603489203,m2,superficie,total
2020,superficie_no_habitacional,m2,4236794.0,-28.698373227386,m2,superficie,total
2021,superficie_no_habitacional,m2,4110840.0,-2.972861083168077,m2,superficie,total
2022,superficie_no_habitacional,m2,4221495.0,2.691785620457132,m2,superficie,total
2023,superficie_no_habitacional,m2,3371707.0,-20.130025026678933,m2,superficie,total
2024,superficie_no_habitacional,m2,3963340.0,17.546987327190642,m2,superficie,total
2025,superficie_no_habitacional,m2,4475040.0,12.91082773620229,m2,superficie,total
2014,viviendas_autorizadas,unidades,175822.0,,unidades,conteo,total
2015,viviendas_autorizadas,unidades,204085.0,16.07478017540467,unidades,conteo,total
2016,viviendas_autorizadas,unidades,149109.0,-26.93779552637382,unidades,conteo,total
2017,viviendas_autorizadas,unidades,160580.0,7.693029931124218,unidades,conteo,total
2018,viviendas_autorizadas,unidades,183660.0,14.372898243865983,unidades,conteo,total
2019,viviendas_autorizadas,unidades,189132.0,2.979418490689323,unidades,conteo,total
2020,viviendas_autorizadas,unidades,140574.0,-25.674132352008115,unidades,conteo,total
2021,viviendas_autorizadas,unidades,163220.0,16.109664660605794,unidades,conteo,total
2022,viviendas_autorizadas,unidades,133809.0,-18.019237838500178,unidades,conteo,total
2023,viviendas_autorizadas,unidades,104655.0,-21.787772122951367,unidades,conteo,total
2024,viviendas_autorizadas,unidades,101972.0,-2.563661554631891,unidades,conteo,total
2025,viviendas_autorizadas,unidades,89825.0,-11.912093515867106,unidades,conteo,total
