year,n_regions,spatial_rent_mean,spatial_rent_max,spatial_rent_argmax,spatial_rent_gini,resource_rent_mean,resource_rent_max,resource_rent_argmax,resource_rent_gini,construction_mean,construction_max,construction_argmax,construction_gini
2013,16,0.07909442256471017,0.10641902672991534,La Araucanía,0.1498432748985057,0.14082747983581864,0.5863021975872704,Antofagasta,0.6331999057670438,0.07862485184625159,0.15917250864213325,Atacama,0.141703053366962
2014,16,0.0788587546858508,0.10836192054998212,La Araucanía,0.16022883457817724,0.13573566542406748,0.584352455448149,Antofagasta,0.6504628490420841,0.073559762281313,0.12909298923989632,Atacama,0.14007714396379795
2015,16,0.08298063724434311,0.10793125137073831,La Araucanía,0.1307238550770364,0.1124132417405295,0.524109227768192,Antofagasta,0.6649549845271681,0.08126804895889135,0.11583552288999514,Coquimbo,0.11060195411858406
2016,16,0.0839266058258846,0.1086983696489823,Valparaíso,0.1352119530382411,0.10757847773858395,0.5213194727754247,Antofagasta,0.6789631923988718,0.08069200940466091,0.118117902971701,Atacama,0.10915583237294559
2017,16,0.08681319677565932,0.11700728238455413,Ñuble,0.15507846064235148,0.12191287136950857,0.5904274032942329,Antofagasta,0.6861268685068538,0.07541676433727824,0.10558767586034888,Coquimbo,0.10398712970903473
2018,16,0.08621609961918353,0.11629454352497659,Valparaíso,0.14840235007229086,0.11792787931657048,0.5886286339265211,Antofagasta,0.6940302631187836,0.07874328193096222,0.10722334877766304,Coquimbo,0.08034916254110488
2019,16,0.08835238360692386,0.12017142264521655,Valparaíso,0.1541766892567967,0.10814336732394556,0.555312012539272,Antofagasta,0.6999997733623518,0.08399515913488542,0.11729290014363376,Tarapacá,0.1040883399065034
2020,16,0.09179841812326084,0.12527283698337427,Valparaíso,0.16368762494701478,0.1364044869553855,0.6357802195043796,Antofagasta,0.6946058994248486,0.07523436627215577,0.10792803511624469,Tarapacá,0.10459069475831988
2021,16,0.08950668577962329,0.12354114885087261,La Araucanía,0.177253484997931,0.1547633577614888,0.7050093424509827,Antofagasta,0.6880793005740011,0.07446077288947645,0.10817697724785369,Tarapacá,0.13434622923723272
2022,16,0.09184761408072277,0.12733993790477174,La Araucanía,0.17109134442626764,0.13851638454600965,0.7288523009979239,Antofagasta,0.6959492745234339,0.07766870687196713,0.1434104142465043,Tarapacá,0.17006634715862018
2023,16,0.0916919875720294,0.12370559434118489,La Araucanía,0.15883844684232326,0.12064506665412346,0.6317427872764859,Antofagasta,0.7008286024152889,0.08207993895307035,0.16149042347925868,Tarapacá,0.16968384772167414
2024,16,0.08773465260696098,0.12225400679199844,La Araucanía,0.16730305846859359,0.1331249149999535,0.6404235404244729,Antofagasta,0.6942709441687211,0.07982551018084824,0.14331750303399493,Arica y Parinacota,0.16901927441907127
2025,16,0.08664820067699058,0.12343804385850307,La Araucanía,0.1797746396195033,0.1413306702748429,0.6454958755178387,Antofagasta,0.6956465666695713,0.07936490318891119,0.14045455228796727,Arica y Parinacota,0.17227665158383193
